0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
5000.0,8000.0,2.0,100.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,410.0,173.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,62.0,1.0,17.0,0.0,1.0,0.0,1.0,1.0,1210.758,447.0,0.0,0.0,0.0,0.0,0.0,1
4000.0,6000.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,122.0,52.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,27.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,50.0,103.0,0.0,0.0,0.0,0.0,0.0,0
9000.0,18000.0,7.0,100.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,529.0,272.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,30.0,9.0,0.0,68.0,0.0,1.0,0.0,1.0,1.0,1000.0,296.0,0.0,0.0,0.0,0.0,0.0,0
7000.0,9000.0,23.0,86.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,337.0,141.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,17.0,0.0,43.0,0.0,1.0,0.0,1.0,1.0,500.0,421.0,0.0,1.0,0.0,0.0,0.0,1
7000.0,9000.0,53.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,338.0,139.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,60.0,0.0,1.0,0.0,1.0,1.0,460.0,473.0,0.0,0.0,0.0,1.0,0.0,1
7000.0,8000.0,0.0,100.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,483.0,113.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,30.0,12.0,0.0,92.0,1.0,1.0,0.0,1.0,1.0,200.0,516.0,0.0,0.0,0.0,0.0,0.0,1
4000.0,6000.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,174.0,86.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,27.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,50.0,103.0,0.0,0.0,0.0,0.0,0.0,1
9000.0,18000.0,9.0,100.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,443.0,121.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,11.0,0.0,67.0,0.0,1.0,0.0,1.0,1.0,50.0,861.0,1.0,1.0,1.0,1.0,0.0,0
-1.0,-1.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,36.0,0.0,1.0,0.0,1.0,1.0,30.0,450.0,1.0,0.0,1.0,1.0,0.0,0
8000.0,12000.0,72.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,373.0,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,7.0,0.0,12.0,1.0,1.0,0.0,1.0,1.0,100.0,118.0,0.0,0.0,0.0,0.0,0.0,0
